label,pattern_family,main_layer,relation,member_count,signature_contrast
gemini+gemini-api+github,unknown,unknown,divergent,1,gemini|gemini-api|resume
date+description+ical,unknown,unknown,divergent,1,date|description|ical
-black-000000+-prettier-ff69b4+fastapi,unknown,unknown,divergent,1,-black-000000|-prettier-ff69b4|fastapi
address+addresses+api,unknown,unknown,divergent,1,address|built|easy
acroform+ai-automation+backend,unknown,unknown,divergent,1,acroform|ai-automation|backend
android+chemicalconverter+docking,unknown,unknown,divergent,1,android|chemicalconverter|docking
automate+automation+contains,unknown,unknown,divergent,1,automate|contains|designed
addresses-parsing+machine-learning,unknown,unknown,divergent,1,addresses-parsing|machine-learning
beaugunderson+branch+codecov,unknown,unknown,divergent,1,beaugunderson|branch|codecov
api+json+rpc,unknown,unknown,divergent,1,rpc|soap|soap-client
automation+classes+configuration,unknown,unknown,divergent,1,classes|configuration|curated
checks+cli+crawl,unknown,unknown,divergent,1,checks|cli|crawl
bridge+csv+mvp,unknown,unknown,divergent,2,bridge|saas|csv
clay+com+crm,unknown,unknown,divergent,1,clay|com|crm
mvp+nextjs+voicefill,unknown,unknown,divergent,2,voicefill|web-app|mvp
address-parsing+addresses+bindings,unknown,unknown,adjacent,1,address-parsing|bindings|flake
enum+field+fix,unknown,unknown,divergent,1,enum|field|fix
accurately+across+agricultural,unknown,unknown,divergent,1,accurately|across|agricultural
