project_gap_area;description
connector_families;Connector- und Adapterfamilien fuer einzelne Quellen oder Plattformen
source_systems_and_families;Wiederverwendbare Source-Systeme statt Einzelloesungen
adapter_handoff_contracts;Sauberer Handoff von Adaptern in ein gemeinsames Zielsystem
distribution_surfaces;Allgemeine Ausspielflaechen wie API Feed Website oder Widget
wordpress_plugin_distribution;WordPress als konkrete Distributions- und Partnerflaeche
frontend_and_surface_design;Nutzerflaeche Discovery-UX und Darstellung
location_and_gastro_intelligence;Eigenstaendige Orts Venue und Gastro-Schichten
secondary_enrichment_layers;Sekundaere Zusatzdaten- und Enrichment-Schichten
vertical_depth_connectors;Szenen- oder niche-spezifische Tiefenabdeckung
risk_and_dependency_awareness;Bewusster Umgang mit Lock-in ToS-Risiken und fragilen Plattformpfaden
